                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                  1.626,                 1.5664,                 1.4655,                0.33881,                0.45455,                0.31082,                0.10966,                 2.2041,                 2.1975,                 2.0314,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.6046,                 1.5412,                 1.4421,                0.36948,                0.54545,                0.37616,                0.13712,                 2.2028,                  1.923,                 2.0532,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.5745,                  1.505,                  1.439,                0.37993,                0.60331,                0.38229,                0.13517,                 2.2211,                 1.8502,                  2.085,                0.00101,                0.00101,                0.00101
                     52,                 1.5782,                 1.5266,                  1.434,                0.39051,                0.54545,                0.39737,                0.14268,                 2.1849,                 1.9783,                 2.0527,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.5629,                 1.5254,                 1.4279,                0.36561,                0.58678,                0.40052,                0.14705,                 2.1481,                 1.9877,                 2.0022,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.5571,                  1.486,                 1.4172,                0.39644,                0.61983,                 0.4371,                0.15516,                 2.1305,                 1.9582,                 1.9703,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.6187,                 1.5063,                  1.419,                0.38624,                0.65289,                 0.4174,                0.14742,                 2.1443,                 1.9166,                  1.973,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.5449,                 1.4511,                 1.3779,                 0.3518,                0.63636,                 0.3692,                0.13075,                 2.1385,                 1.9367,                 1.9613,               0.000911,               0.000911,               0.000911
                     57,                 1.4941,                 1.3839,                 1.3682,                0.34272,                0.63779,                0.33965,                0.11883,                 2.1754,                 1.9813,                 1.9886,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.5333,                  1.461,                  1.399,                0.31173,                0.56897,                0.33041,                0.10765,                 2.3261,                 1.9961,                 2.1211,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.6316,                 1.4441,                 1.4193,                0.31537,                0.58247,                0.33013,                0.10809,                 2.3788,                 2.0347,                  2.174,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.5279,                 1.4087,                 1.3674,                0.30538,                0.63636,                0.33571,                0.12462,                  2.304,                 2.0124,                 2.1254,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.4567,                 1.3822,                 1.3543,                 0.4038,                0.46281,                0.37997,                0.13859,                 2.2521,                 2.0009,                  2.104,               0.000812,               0.000812,               0.000812
                     62,                 1.5159,                 1.4115,                 1.3796,                0.42222,                0.43802,                0.37532,                0.12897,                 2.3254,                 2.0328,                 2.1692,              0.0007922,              0.0007922,              0.0007922
